subject	predicate	object	plausibility	neighborhood_sigma	local_sigma
hawaii	have	mm	0.0789	0.8882	0.0061
hawaii	have	ft	0.0789	0.8769	0.0087
dancer	put tights over	leotard	0.0789	0.8383	1.0
founder	has_property	twitter	0.0789	0.9413	0.0004
company	charge	nsf fees	0.0789	0.9543	0.1787
martin luther king	has_property	movies	0.0789	0.9462	0.0011
almond	give	pimples	0.0789	0.8997	0.0276
baltimore	have	ty	0.0789	0.8626	0.0063
trait	need	inheritable	0.0789	0.6433	1.0
baby	forget	breathe	0.0789	0.8154	0.401
dysfunction	can	book	0.0789	0.8553	0.0008
shia	torture	themselves	0.0789	0.8266	1.0
river	has_property	is seasonal	0.0789	0.9222	1.0
repugnance	be used	in a sentence	0.0789	0.9512	0.0002
essential	has_property	bjj	0.0789	0.9392	0.0004
essential	has_property	bm2600	0.0789	1.0	1.0
essential	has_property	python	0.0789	0.9585	0.0003
essential	has_property	lbs	0.0789	0.9289	0.0005
essential	has_property	tlc	0.0789	0.9135	0.0001
essential	has_property	iguatemi	0.0789	1.0	0.0444
essential	has_property	bm2600	0.0789	1.0	1.0
essential	has_property	bjj	0.0789	0.9392	0.0004
laser	has_place	away	0.0789	0.8939	0.0002
snoring	can	nursing	0.0789	0.8293	0.0107
snoring	can	center	0.0789	0.7628	0.0041
snoring	can	bite	0.0789	0.8668	0.0009
snoring	can	scratch	0.0789	0.8817	0.0031
snoring	can	sweat	0.0789	0.8549	0.0006
rosa	get out of	jail	0.0789	0.9324	0.0126
respect	has_property	an important factor in leadership	0.0789	0.8748	1.0
clinical psychologist	differ	counseling	0.0789	0.7628	1.0
cell wall	has_property	pa	0.0789	0.9447	0.0002
rodent	lay	eggs	0.0789	0.9494	0.0004
fire-on-the-mountain	has_property	pies	0.0789	0.9043	0.0017
fire-on-the-mountain	has_property	rfcs	0.0789	1.0	0.0135
fire-on-the-mountain	has_property	rods	0.0789	0.8407	0.1843
fire-on-the-mountain	has_property	zulu	0.0789	0.9059	0.0046
fire-on-the-mountain	has_property	sags	0.0789	0.8727	0.0018
fire-on-the-mountain	has_property	myers	0.0789	0.8288	0.0737
fire-on-the-mountain	has_property	yummy	0.0789	0.8698	0.0057
fire-on-the-mountain	has_property	wgsm	0.0789	1.0	0.1542
fire-on-the-mountain	has_property	ukraine	0.0789	0.9126	0.0013
fire-on-the-mountain	has_property	yammers	0.0789	0.7793	1.0
fire-on-the-mountain	has_property	upwards	0.0789	0.7713	0.2194
fire-on-the-mountain	has_property	esl	0.0789	0.9024	0.002
fire-on-the-mountain	has_property	tx	0.0789	0.8777	0.0016
fire-on-the-mountain	has_property	yummy	0.0789	0.8698	0.0057
fire-on-the-mountain	has_property	zulu	0.0789	0.9059	0.0046
